City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Marsaxlokk,MT,81.09,clear sky,35.8419,14.5431,Water's Edge
5,Maurawan,IN,80.64,overcast clouds,26.4333,80.8833,Mahi Sanstha
11,San Quintin,MX,77.2,light rain,30.4833,-115.95,Don Eddie's Sport Fishing Center
13,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
20,Yining,CN,81.7,overcast clouds,29.0361,114.5636,Xiushui Hotel
27,Karaton,ID,77.77,light rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
35,Mizdah,LY,76.1,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
37,Pacific Grove,US,87.39,clear sky,36.6177,-121.9166,Lovers Point Inn
45,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
48,Kahului,US,89.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
55,Port-Gentil,GA,76.01,overcast clouds,-0.7193,8.7815,Fengshui Residence
57,Riyadh,SA,86.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
58,Noumea,NC,78.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
59,Manacapuru,BR,76.59,few clouds,-3.2997,-60.6206,Novo Hotel
61,Tomohon,ID,79.74,clear sky,1.3346,124.8392,Gardenia Country Inn
66,Victoria,HK,87.96,overcast clouds,22.2855,114.1577,Mini Central
68,Misratah,LY,80.08,clear sky,32.3754,15.0925,Almasa Hotel
70,Porto Walter,BR,81.16,clear sky,-8.2686,-72.7439,Hotel Silva
75,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
88,Puerto Leguizamo,CO,75.6,few clouds,-0.1934,-74.7819,la casona de juancho
96,Ribeira Grande,PT,75.54,light rain,38.5167,-28.7,Quinta da Meia Eira
99,Makakilo City,US,86.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
101,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
102,Bubaque,GW,80.62,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
107,Marawi,PH,78.3,overcast clouds,7.9986,124.2928,Derogongan Residence
108,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
111,Brigham City,US,88.3,clear sky,41.5102,-112.0155,Best Western Brigham City Inn & Suites
112,Korla,CN,77.92,clear sky,41.7597,86.1469,Gulisitan Hotel
113,Ranong,TH,78.73,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
130,Mana,GF,78.31,overcast clouds,5.6592,-53.7767,LE SAMANA
136,Hithadhoo,MV,81.77,overcast clouds,-0.6,73.0833,Scoop Guest House
137,Semnan,IR,80.44,clear sky,35.5729,53.3971,Semnan Tourist Hotel
145,Bucerias,MX,85.98,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
