City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Fortuna,US,40.5982,-124.1573,63.99,93,94,5.88,overcast clouds
1,Atuona,PF,-9.8,-139.0333,76.87,82,37,27.69,light rain
2,Constitucion,CL,-35.3333,-72.4167,47.7,85,100,6.06,overcast clouds
3,Qaanaaq,GL,77.484,-69.3632,36.64,79,80,2.04,broken clouds
4,Albany,US,42.6001,-73.9662,70.57,79,99,1.77,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,72.28,75,0,22.39,light rain
6,Cochrane,CA,51.1834,-114.4687,81.64,25,0,17.27,clear sky
7,Chokurdakh,RU,70.6333,147.9167,50.67,61,100,7.67,overcast clouds
8,Dzilam Gonzalez,MX,21.2833,-88.9333,90.05,59,21,6.58,few clouds
9,Hobart,AU,-42.8794,147.3294,47.26,91,100,1.14,overcast clouds
10,Codajas,BR,-3.8367,-62.0569,95.68,34,100,3.89,overcast clouds
11,Mahebourg,MU,-20.4081,57.7,70.09,73,75,3.44,broken clouds
12,Georgetown,MY,5.4112,100.3354,78.73,91,20,2.3,few clouds
13,Baghdad,IQ,33.3406,44.4009,89.51,29,0,6.91,clear sky
14,Acari,PE,-15.4311,-74.6158,73.74,49,58,9.1,broken clouds
15,Ushuaia,AR,-54.8,-68.3,38.86,60,20,6.91,few clouds
16,Somerset East,ZA,-32.7217,25.588,61.0,34,0,5.1,clear sky
17,Butaritari,KI,3.0707,172.7902,81.7,70,100,11.68,overcast clouds
18,Havelock,US,34.8791,-76.9013,87.94,75,91,1.01,overcast clouds
19,Chapleau,CA,47.8405,-83.4034,74.71,37,0,6.58,clear sky
20,Mataura,NZ,-46.1927,168.8643,41.49,97,100,1.99,overcast clouds
21,Cape Town,ZA,-33.9258,18.4232,58.08,76,0,12.35,clear sky
22,Zhangjiakou,CN,40.81,114.8794,62.55,48,0,2.39,clear sky
23,Buenos Aires,AR,-34.6132,-58.3772,76.98,41,2,10.69,clear sky
24,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,64,75,25.32,broken clouds
25,Wiarton,CA,44.7407,-81.1332,76.03,48,0,7.78,clear sky
26,Port-Gentil,GA,-0.7193,8.7815,78.76,78,75,11.5,broken clouds
27,Punta Arenas,CL,-53.15,-70.9167,42.82,56,75,20.71,broken clouds
28,Lampang,TH,18.3333,99.5,72.93,95,90,1.63,overcast clouds
29,Kahului,US,20.8947,-156.47,84.22,67,20,19.57,few clouds
30,Avarua,CK,-21.2078,-159.775,77.05,73,20,6.91,few clouds
31,Kaduna,NG,10.5222,7.4383,70.43,90,72,2.44,broken clouds
32,Mayumba,GA,-3.432,10.6554,73.9,89,100,7.78,light rain
33,North Bend,US,43.4065,-124.2243,70.16,65,99,13.71,overcast clouds
34,Salalah,OM,17.0151,54.0924,78.89,89,75,4.61,broken clouds
35,Tiksi,RU,71.6872,128.8694,40.33,88,93,8.16,overcast clouds
36,Vaini,TO,-21.2,-175.2,75.81,79,1,10.07,clear sky
37,Taltal,CL,-25.4,-70.4833,58.98,68,98,6.85,overcast clouds
38,Petropolis,RU,59.8944,30.2642,48.06,75,0,4.47,clear sky
39,Yellowknife,CA,62.456,-114.3525,46.56,75,100,11.99,overcast clouds
40,Zhigansk,RU,66.7697,123.3711,39.99,86,90,1.14,overcast clouds
41,Hithadhoo,MV,-0.6,73.0833,81.99,73,98,15.14,overcast clouds
42,Mar Del Plata,AR,-38.0023,-57.5575,73.42,43,0,11.5,clear sky
43,Mundo Nuevo,MX,18.7,-95.5,84.18,71,95,9.08,overcast clouds
44,Mareeba,AU,-17.0,145.4333,65.12,96,62,3.31,broken clouds
45,Hilo,US,19.7297,-155.09,86.29,75,75,3.44,broken clouds
46,Hasaki,JP,35.7333,140.8333,75.6,87,14,10.0,few clouds
47,Bar Harbor,US,44.3876,-68.2039,73.45,64,0,10.36,clear sky
48,Nhulunbuy,AU,-12.2333,136.7667,68.61,100,100,0.0,overcast clouds
49,Severo-Kurilsk,RU,50.6789,156.125,55.6,94,100,18.79,overcast clouds
50,Victoria,HK,22.2855,114.1577,84.38,82,97,8.01,overcast clouds
51,Mount Isa,AU,-20.7333,139.5,67.77,49,75,4.61,thunderstorm
52,Karpogory,RU,64.0019,44.4451,40.95,85,100,6.62,overcast clouds
53,Dikson,RU,73.5069,80.5464,37.27,90,100,19.33,light rain
54,Damghan,IR,36.1683,54.348,77.76,22,0,2.37,clear sky
55,Ambilobe,MG,-13.2,49.05,71.64,63,31,4.92,scattered clouds
56,Choix,MX,26.7092,-108.3219,80.33,70,100,0.67,overcast clouds
57,Bandiagara,ML,14.3501,-3.6104,80.15,59,31,7.0,scattered clouds
58,Desbiens,CA,48.4178,-71.9495,67.68,57,11,2.33,few clouds
59,Vila Do Maio,CV,15.1333,-23.2167,84.99,87,51,17.05,broken clouds
60,Nemuro,JP,43.3236,145.575,63.01,80,7,8.28,clear sky
61,Ponta Do Sol,PT,32.6667,-17.1,76.71,77,10,2.33,clear sky
62,Bonthe,SL,7.5264,-12.505,76.14,89,100,9.17,light rain
63,Busselton,AU,-33.65,115.3333,48.31,83,36,5.44,scattered clouds
64,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.32,64,1,11.43,clear sky
65,Rudozem,BG,41.4833,24.85,56.82,65,0,4.41,clear sky
66,Moron,AR,-34.6534,-58.6198,79.95,40,4,9.86,clear sky
67,Kruisfontein,ZA,-34.0033,24.7314,57.88,89,0,0.2,clear sky
68,South Sioux City,US,42.4739,-96.4136,86.27,51,0,9.22,clear sky
69,Kapaa,US,22.0752,-159.319,82.72,75,40,13.8,scattered clouds
70,Aklavik,CA,68.2191,-135.0107,41.11,65,100,2.59,overcast clouds
71,Husavik,IS,66.0449,-17.3389,55.17,79,39,4.52,scattered clouds
72,Rawah,IQ,34.4816,41.9093,89.94,26,0,9.33,clear sky
73,Lavrentiya,RU,65.5833,-171.0,44.44,88,100,11.34,light rain
74,Narsaq,GL,60.9167,-46.05,53.82,77,13,3.47,few clouds
75,Dunedin,NZ,-45.8742,170.5036,39.79,83,100,3.65,overcast clouds
76,Zhifang,CN,30.35,114.3167,81.64,48,100,5.35,overcast clouds
77,Mahajanga,MG,-15.7167,46.3167,75.22,69,20,1.14,few clouds
78,Luderitz,NA,-26.6481,15.1594,60.24,72,0,7.85,clear sky
79,Tianpeng,CN,30.9866,103.9393,75.72,75,100,3.22,overcast clouds
80,Hermanus,ZA,-34.4187,19.2345,53.8,84,0,9.1,clear sky
81,Belyy Yar,RU,53.6039,91.3903,64.85,57,0,0.0,clear sky
82,New Norfolk,AU,-42.7826,147.0587,46.92,80,92,1.23,overcast clouds
83,Komsomolskiy,UZ,40.4272,71.7189,75.92,31,0,9.22,clear sky
84,Yar-Sale,RU,66.8333,70.8333,35.01,77,97,6.13,overcast clouds
85,Esik,KZ,43.3552,77.4525,67.42,29,0,8.23,clear sky
86,Bluff,NZ,-46.6,168.3333,41.81,74,85,0.81,overcast clouds
87,Lebu,CL,-37.6167,-73.65,49.46,58,67,12.55,broken clouds
88,Orcopampa,PE,-15.2661,-72.3417,62.98,19,97,6.78,overcast clouds
89,Vyazemskiy,RU,47.5378,134.7525,55.27,69,0,12.53,clear sky
90,Poum,NC,-20.2333,164.0167,70.72,80,89,10.33,overcast clouds
91,Jamestown,US,42.097,-79.2353,69.03,76,100,5.75,overcast clouds
92,Burgos,ES,42.3394,-3.7079,64.81,48,20,11.5,few clouds
93,Bredasdorp,ZA,-34.5322,20.0403,49.32,93,0,2.64,clear sky
94,Caninde De Sao Francisco,BR,-9.66,-37.7894,82.67,39,20,12.64,few clouds
95,Peniche,PT,39.3558,-9.3811,72.09,85,100,6.22,overcast clouds
96,Puerto Ayora,EC,-0.7393,-90.3518,75.16,98,99,8.01,overcast clouds
97,North Myrtle Beach,US,33.816,-78.68,90.36,76,40,9.22,thunderstorm
98,Saint-Pierre,RE,-21.3393,55.4781,69.48,65,100,4.61,overcast clouds
99,Pevek,RU,69.7008,170.3133,39.04,72,9,11.77,clear sky
100,Point Pleasant,US,40.0832,-74.0682,72.19,81,100,9.22,overcast clouds
101,Jeremie,HT,18.65,-74.1167,85.15,71,27,4.7,scattered clouds
102,Takoradi,GH,4.8845,-1.7554,75.99,85,10,9.24,clear sky
103,Galesong,ID,-5.3166,119.3661,75.22,74,91,4.25,overcast clouds
104,Baruun-Urt,MN,46.6806,113.2792,61.18,39,6,8.05,clear sky
105,Naze,JP,28.3667,129.4833,76.17,77,100,10.56,overcast clouds
106,Padang,ID,-0.9492,100.3543,76.82,83,100,4.38,light rain
107,Sao Filipe,CV,14.8961,-24.4956,78.85,87,72,14.56,broken clouds
108,Aktau,KZ,43.65,51.2,63.18,55,99,10.38,overcast clouds
109,Bafq,IR,31.6128,55.4107,83.86,9,0,1.3,clear sky
110,Bethel,US,41.3712,-73.414,73.02,72,100,4.61,overcast clouds
111,Cabinda,AO,-5.55,12.2,75.02,85,100,7.31,overcast clouds
112,Tashara,RU,55.5195,83.5094,51.33,65,0,18.34,clear sky
113,Inhambane,MZ,-23.865,35.3833,70.21,67,100,8.93,overcast clouds
114,Necochea,AR,-38.5473,-58.7368,71.53,44,61,10.54,broken clouds
115,Nanortalik,GL,60.1432,-45.2371,44.91,89,36,3.85,scattered clouds
116,Puerto Carreno,CO,6.189,-67.4859,86.09,67,84,7.02,broken clouds
117,Passo De Camaragibe,BR,-9.2368,-35.4901,78.35,68,0,7.72,clear sky
118,Tasiilaq,GL,65.6145,-37.6368,42.96,98,100,0.69,overcast clouds
119,Vryheid,ZA,-27.7695,30.7917,55.22,71,0,7.72,clear sky
120,Provideniya,RU,64.3833,-173.3,43.95,88,100,7.7,overcast clouds
121,Coihaique,CL,-45.5752,-72.0662,38.01,81,100,3.44,overcast clouds
122,Hamilton,US,39.1834,-84.5333,81.25,58,75,11.5,broken clouds
123,Lorengau,PG,-2.0226,147.2712,79.05,81,100,1.83,overcast clouds
124,Mandalgovi,MN,45.7625,106.2708,61.88,21,5,4.29,clear sky
125,Barrow,US,71.2906,-156.7887,42.82,87,0,10.36,clear sky
126,Port Alfred,ZA,-33.5906,26.891,63.18,90,6,1.99,clear sky
127,Fostoria,US,41.157,-83.4169,80.73,64,0,7.0,clear sky
128,Adrar,MR,20.5022,-10.0711,104.0,9,7,12.68,clear sky
129,Mount Gambier,AU,-37.8333,140.7667,54.86,98,100,10.2,light rain
130,Kodiak,US,57.79,-152.4072,53.11,82,100,6.91,light rain
131,College,US,64.8569,-147.8028,48.58,91,100,3.44,overcast clouds
132,Homer,US,59.6425,-151.5483,54.77,85,100,5.75,overcast clouds
133,Bechem,GH,7.0903,-2.025,72.91,88,48,2.57,scattered clouds
134,Beringovskiy,RU,63.05,179.3167,40.89,73,14,7.76,few clouds
135,Matara,LK,5.9485,80.5353,77.11,89,100,11.9,overcast clouds
136,Gumdag,TM,39.2061,54.5906,82.78,28,100,15.01,overcast clouds
137,Sosnovo-Ozerskoye,RU,52.5249,111.5418,45.01,87,100,4.92,overcast clouds
138,East London,ZA,-33.0153,27.9116,64.96,81,40,16.46,scattered clouds
139,Dali,CN,25.7,100.1833,59.45,75,80,1.99,broken clouds
140,Faanui,PF,-16.4833,-151.75,78.21,75,10,22.48,light rain
141,Thompson,CA,55.7435,-97.8558,72.55,26,11,12.3,few clouds
142,Hualmay,PE,-11.0964,-77.6139,65.14,69,29,10.76,scattered clouds
143,Gat,IL,31.61,34.7642,79.81,100,0,6.29,clear sky
144,Belaya Kholunitsa,RU,58.84,50.8528,44.89,97,100,2.75,overcast clouds
145,Ostrovnoy,RU,68.0531,39.5131,43.38,79,100,14.32,light rain
146,Akom,CM,2.6678,12.7109,72.99,80,100,2.51,overcast clouds
147,Moyale,KE,3.5167,39.0584,77.09,43,100,13.06,overcast clouds
148,Meulaboh,ID,4.1363,96.1285,76.77,83,100,2.37,overcast clouds
149,Dolores,AR,-36.3132,-57.6792,73.51,40,0,10.56,clear sky
150,Alta Floresta,BR,-9.8756,-56.0861,96.55,26,52,5.95,broken clouds
151,Portel,BR,-1.9356,-50.8211,90.32,48,35,7.02,scattered clouds
152,Norman Wells,CA,65.282,-126.8329,53.78,48,24,7.07,few clouds
153,Nikolskoye,RU,59.7035,30.7861,48.78,92,14,5.28,few clouds
154,Ambon,ID,-3.6954,128.1814,79.23,14,20,2.3,few clouds
155,Balad,IQ,34.0164,44.1453,94.64,19,0,11.23,clear sky
156,Achikulak,RU,44.5517,44.8378,61.38,60,86,6.02,overcast clouds
157,Jibuti,DJ,11.5,42.5,92.12,36,0,1.72,clear sky
158,Inirida,CO,3.8653,-67.9239,87.71,57,40,3.13,scattered clouds
159,Salym,RU,60.0625,71.4789,43.93,92,100,10.33,overcast clouds
160,Senador Jose Porfirio,BR,-2.5908,-51.9542,88.36,53,100,0.4,overcast clouds
161,Muros,ES,42.7762,-9.0603,63.68,92,92,7.27,overcast clouds
162,Batemans Bay,AU,-35.7167,150.1833,57.09,86,99,4.83,overcast clouds
163,Guanajuato,MX,21.0186,-101.2591,77.31,57,85,2.98,overcast clouds
164,Tuktoyaktuk,CA,69.4541,-133.0374,40.05,84,100,10.22,overcast clouds
165,Umm Lajj,SA,25.0213,37.2685,86.13,57,0,9.22,clear sky
166,Saint-Georges,GD,12.0564,-61.7485,87.48,74,20,16.11,few clouds
167,Pingliang,CN,35.5392,106.6861,60.93,71,94,2.77,overcast clouds
168,Upernavik,GL,72.7868,-56.1549,37.33,87,100,4.23,overcast clouds
169,Cabo San Lucas,MX,22.8909,-109.9124,80.06,88,100,18.41,overcast clouds
170,Haines Junction,CA,60.7522,-137.5108,55.31,56,12,1.99,few clouds
171,Hofn,IS,64.2539,-15.2082,51.82,87,75,3.44,broken clouds
172,Fredericton,CA,45.9454,-66.6656,79.38,47,1,1.01,clear sky
173,Manta,EC,-0.95,-80.7333,74.98,73,100,16.11,overcast clouds
174,Agirish,RU,61.9247,63.0231,43.43,90,98,3.18,overcast clouds
175,Carnarvon,AU,-24.8667,113.6333,63.16,61,98,12.66,overcast clouds
176,Tuatapere,NZ,-46.1333,167.6833,39.02,91,93,3.8,overcast clouds
177,Elat,IL,29.5581,34.9482,89.44,31,0,4.61,clear sky
178,Brae,GB,60.3964,-1.353,57.0,90,99,18.75,overcast clouds
179,Gayny,RU,60.3071,54.3241,43.88,95,100,3.31,overcast clouds
180,San Patricio,US,28.017,-97.5169,91.35,53,100,5.95,overcast clouds
