City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lorengau,PG,2022-09-06 01:30:24,-2.0226,147.2712,85.3,62,69,9.31
1,Salalah,OM,2022-09-06 01:30:25,17.0151,54.0924,76.91,94,100,5.41
2,Ust-Nera,RU,2022-09-06 01:30:26,64.5667,143.2,54.32,36,98,6.02
3,Hithadhoo,MV,2022-09-06 01:30:26,-0.6,73.0833,82.02,69,100,17.87
4,Punta Arenas,CL,2022-09-06 01:30:03,-53.15,-70.9167,33.91,80,20,20.71
5,Hermanus,ZA,2022-09-06 01:30:28,-34.4187,19.2345,50.81,80,15,8.03
6,Kodiak,US,2022-09-06 01:30:28,57.79,-152.4072,60.31,67,100,3.44
7,Busselton,AU,2022-09-06 01:30:30,-33.65,115.3333,51.55,83,85,4.03
8,New Norfolk,AU,2022-09-06 01:30:33,-42.7826,147.0587,54.72,67,82,1.99
9,Harnosand,SE,2022-09-06 01:30:34,62.6323,17.9379,45.0,70,43,8.95
10,Bredasdorp,ZA,2022-09-06 01:30:34,-34.5322,20.0403,45.93,84,32,7.54
11,Tuktoyaktuk,CA,2022-09-06 01:30:34,69.4541,-133.0374,39.2,87,75,23.02
12,Los Algarrobos,PA,2022-09-06 01:30:35,8.5,-82.4333,75.61,100,40,2.3
13,Katsuura,JP,2022-09-06 01:30:35,35.1333,140.3,83.7,70,78,11.63
14,Atuona,PF,2022-09-06 01:30:35,-9.8,-139.0333,76.75,66,0,20.09
15,Pevek,RU,2022-09-06 01:30:36,69.7008,170.3133,33.26,99,100,6.24
16,Talara,PE,2022-09-06 01:30:36,-4.5772,-81.2719,62.96,90,89,11.65
17,Lompoc,US,2022-09-06 01:28:01,34.6391,-120.4579,98.74,57,0,10.36
18,Hobart,AU,2022-09-06 01:29:18,-42.8794,147.3294,54.05,71,75,4.61
19,Isangel,VU,2022-09-06 01:30:38,-19.55,169.2667,73.51,88,100,6.91
20,Kapaa,US,2022-09-06 01:30:38,22.0752,-159.319,85.98,65,20,12.66
21,Chokurdakh,RU,2022-09-06 01:30:38,70.6333,147.9167,51.28,43,80,7.9
22,Saskylakh,RU,2022-09-06 01:30:39,71.9167,114.0833,45.5,70,99,18.14
23,Evanston,US,2022-09-06 01:30:39,42.0411,-87.6901,68.97,87,100,10.36
24,Palmer,US,2022-09-06 01:30:39,42.1584,-72.3287,66.85,85,100,4.61
25,Ulaangom,MN,2022-09-06 01:30:39,49.9811,92.0667,67.12,29,61,2.37
26,Tautira,PF,2022-09-06 01:30:40,-17.7333,-149.15,77.13,78,21,15.73
27,Wajima,JP,2022-09-06 01:30:40,37.4,136.9,92.08,48,40,10.36
28,Airai,TL,2022-09-06 01:30:40,-8.9266,125.4092,76.19,34,62,2.84
29,Chipinge,ZW,2022-09-06 01:30:41,-20.1883,32.6236,56.46,57,1,3.15
